source_id,bp_rp,phot_g_mean_mag,parallax,source_ids,chi2
3178047173638946432,0.115926266,4.9096155,14.234752465890619,3.1780471736389463E18,565.1
3180922018585508352,1.7356591,7.5192094,1.6798113429028176,3.1809220185855084E18,1526.0
3180935899921141120,0.7314043,13.183861,1.0263544777786135,3.1809358999211412E18,74.67
3180935899921141376,0.47492743,8.261585,2.9447293149961293,3.1809358999211412E18,74.67
3181025200882254336,1.2617607,8.767216,3.066053757483092,3.1810252008822543E18,1033.0
3178300370550313600,0.9184809,8.430967,16.684007367246252,3.1783003705503135E18,24900.0
3189629738362527488,1.2962766,7.4304724,2.5462339465598762,3.1896297383625277E18,4320.0
3189777760115073408,1.2647882,7.5147815,4.113142259809834,3.1897777601150735E18,151.3
3190154549005848960,0.6558237,8.600565,6.081668395668206,3.1901545490058491E18,121.5
3190312225845511296,0.48818302,8.996331,4.616012978599221,3.1903122258455112E18,4861.0
3190312225845511424,2.9391317,16.196342,4.750733088555081,3.1903122258455112E18,4861.0
5872711373173972992,1.1398373,16.63133,0.40443365897878564,5.872711373173973E18,730.0
5872711373173973120,0.10743141,7.547476,1.4481140130800867,5.872711373173973E18,730.0
5872512739517000576,0.48065376,8.576011,5.493840297370134,5.8725127395170007E18,6563.0
5872512739517000704,1.4123945,16.653576,0.8519095806477829,5.8725127395170007E18,6563.0
5872540192948212352,0.16830063,9.656953,1.60467429910299,5.8725401929482127E18,115.8
5872473775580652800,0.38147497,7.2154517,10.934924862506502,5.8724737755806525E18,41.57
866852497734061056,1.1957021,7.365674,4.688469780119163,8.6685249773406106E17,24920.0
858125777022899200,0.8614664,9.248789,12.719684167830883,8.581257770228992E17,30.48
863605983493864448,0.2565794,9.041373,4.016087841918033,8.6360598349386445E17,2561.0
863834849415435776,1.1252813,8.727921,2.0882405101954653,8.6383484941543578E17,30.54
858609733937950208,0.6678896,9.730985,3.040264764842376,8.5860973393795021E17,101.2
864034758669467392,0.070595264,7.774064,4.068540382475732,8.6403475866946739E17,860.4
867058312566821888,1.4185162,7.050906,3.389995622537014,8.6705831256682189E17,103.0
868652535707752576,0.6973839,7.1475244,9.175880040014077,8.6865253570775258E17,257.3
864242532007217792,0.11685133,7.551546,4.2361692674638,8.6424253200721779E17,150.6
864372927213940224,0.6866207,8.668045,9.319710148507285,8.6437292721394022E17,5892.0
859046721090488320,1.1054282,5.984815,5.301741896168433,8.5904672109048832E17,35.71
859126607482258304,1.1776428,9.921761,1.505306367667455,8.591266074822583E17,101.7
864658525358970240,0.822073,10.043343,4.0292136378390415,8.6465852535897024E17,63.6
859320533845581312,1.0586791,6.7759,4.2592461716510055,8.5932053384558131E17,1201.0
865962683591073408,0.6578083,6.412439,32.680305911987645,8.6596268359107341E17,750.5
859479413275804928,0.70826244,5.563896,35.375722994793854,8.5947941327580493E17,12840.0
5872774388938839552,0.30752373,8.942873,0.8621165978886086,5.8727743889388401E18,757.1
