,0
1312,0.6304595
1313,0.8841158
1314,9.702063
1315,1.4165653
1316,2.1796985
1317,1.7297589
1318,0.3199028
1319,2.1084185
1320,1.950336
1321,1.9530053
1322,4.90081
1323,2.168482
1324,47.282352
1325,3.433064
1326,3.1698923
1327,2.1009202
1328,0.4539235
1329,1.1339561
1330,17.626226
1331,1.7132093
1332,2.5358589
1333,1.7161919
1334,1.0526283
1335,4.0511785
1336,3.5980573
1337,0.5239789
1338,32.711334
1339,3.5967095
1340,2.4941595
1341,9.626868
1342,67.03485
1343,2.562582
1344,3.4958081
1345,43.814316
1346,3.739236
1347,3.4877605
1348,9.241671
1349,7.834361
1350,6.7850695
1351,7.167674
1352,0.91280186
1353,8.958824
1354,17.185438
1355,8.972571
1356,3.9058244
1357,0.36501113
1358,1.7073197
1359,2.6614118
1360,1.777574
1361,0.31521478
1362,12.176312
1363,14.924396
1364,15.291903
1365,0.83020663
1366,4.19532
1367,16.270945
1368,25.104805
1369,6.6975546
1370,1.689652
1371,0.31471962
1372,0.33346003
1373,0.48383605
1374,8.391458
1375,5.3552485
1376,12.282085
1377,7.586262
1378,5.6225233
1379,0.6634665
1380,0.4661843
1381,2.0163312
1382,0.6847035
1383,18.348858
1384,0.19755998
1385,1.437752
1386,9.513338
1387,3.0460746
1388,2.4709892
1389,1.8710592
1390,2.5033765
1391,1.7033594
1392,2.6885717
1393,28.486294
1394,2.5900714
1395,1.6886113
1396,1.9667542
1397,2.2002738
1398,18.96211
1399,2.0513742
1400,33.125084
1401,1.6376653
1402,6.0856323
1403,6.038359
1404,0.3998508
1405,0.3986087
1406,1.3582792
1407,3.56637
1408,2.224024
1409,1.2262444
1410,3.1939137
1411,2.458543
1412,2.847042
1413,15.642617
1414,1.8967615
1415,0.47660542
1416,4.4992037
1417,1.8579218
1418,2.443756
1419,3.5145228
1420,0.2628454
1421,2.4293494
1422,1.3829759
1423,1.5168579
1424,2.9054675
1425,1.6284263
1426,5.346376
1427,6.4071655
1428,1.3659859
1429,240.88239
1430,3.8159463
1431,5.092375
1432,1.8667041
1433,2.2677605
1434,6.6430726
1435,8.888508
1436,3.4630795
1437,2.3669014
1438,1.6922562
1439,9.4134865
1440,1.3519444
1441,5.6168523
1442,2.5244818
1443,2.195483
1444,1.1532718
1445,5.019262
1446,0.7655244
1447,4.626863
1448,3.109585
1449,2.68349
1450,2.0173564
1451,1.3727283
1452,0.36838
1453,36.42705
